iter	Passed	Remaining
713	143240	1862927
714	143444	1862777
715	143629	1862365
716	143826	1862118
717	144020	1861841
718	144195	1861304
719	144360	1860641
720	144537	1860139
721	144667	1859031
722	144800	1857977
723	144998	1857742
724	145294	1858770
725	145488	1858486
726	145699	1858423
727	146006	1859572
728	146191	1859183
729	146343	1858362
730	146540	1858117
731	146702	1857423
732	146885	1857009
733	147016	1855929
734	147231	1855915
735	147404	1855375
736	147603	1855151
737	147858	1855646
738	148254	1857898
739	148537	1858726
740	148698	1858034
741	148880	1857593
742	149142	1858159
743	149285	1857240
744	149537	1857674
745	149723	1857294
746	149873	1856462
747	150077	1856308
748	150252	1855783
749	150469	1855785
750	150630	1855107
751	150794	1854446
752	150993	1854236
753	151203	1854144
754	151356	1853360
755	151619	1853934
756	151769	1853106
757	152045	1853832
758	152360	1855025
759	152534	1854496
760	152776	1854803
761	152937	1854120
762	153100	1853458
763	153315	1853432
764	153491	1852933
765	153715	1853015
766	153916	1852819
767	154095	1852355
768	154228	1851344
769	154513	1852158
770	154686	1851623
771	154888	1851444
772	155078	1851112
773	155226	1850280
774	155389	1849633
775	155552	1848989
776	155759	1848863
777	155951	1848560
778	156136	1848183
779	156306	1847627
780	156522	1847608
781	156728	1847467
782	156907	1847021
783	157102	1846761
784	157224	1845633
785	157362	1844702
786	157584	1844761
787	157778	1844491
788	158000	1844544
789	158195	1844278
790	158374	1843836
791	158565	1843518
792	158833	1844110
793	159071	1844347
794	159259	1844004
795	159430	1843469
796	159559	1842436
797	159733	1841940
798	159963	1842083
799	160151	1841741
800	160369	1841743
801	160600	1841900
802	160823	1841959
803	161163	1843353
804	161424	1843852
805	161607	1843447
806	161851	1843743
807	162009	1843055
808	162218	1842956
809	162419	1842764
810	162606	1842410
811	162840	1842586
812	163026	1842223
813	163204	1841760
814	163420	1841737
815	163600	1841305
816	163822	1841350
817	163982	1840689
818	164150	1840127
819	164416	1840666
820	164633	1840649
821	164775	1839794
822	164957	1839391
823	165147	1839066
824	165321	1838576
825	165532	1838491
826	165844	1839528
827	166064	1839545
828	166307	1839813
829	166475	1839256
